Name,Glasanteil_Süd_[%],Klimaszenario,Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],Glasanteil_Nord_[%],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Investitionskosten_[EUR],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_[kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR],Heizenergie_[kWh/Jahr]
run10001,96.06,2060 warmer Sommer mit Klimaschutz,58.45,40.47,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1802,40.47,915.1,2060 warmer Sommer mit Klimaschutz,run10001,7.295,1.842,52867,72165.1,606721.8,12129,222138.7,33742.1,606721.8,72165.1
run10002,62.9,2060 warmer Sommer mit Klimaschutz,55.99,40.38,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1173,40.38,446.5,2060 warmer Sommer mit Klimaschutz,run10002,7.353,1.741,48562.9,80404.4,566754.3,13111.2,231395,34713.4,566754.3,80404.4
run10003,46.53,2060 Durchschnittsjahr mit Klimaschutz,8.891,97.05,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1345,97.05,1254.9,2060 Durchschnittsjahr mit Klimaschutz,run10003,7.481,1.324,29528,78629.7,503133.1,17556.9,225751.1,33851.1,503133.1,78629.7
run10004,47.71,2060 Durchschnittsjahr mit Klimaschutz,30.5,11.63,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1195,11.63,2323.8,2060 Durchschnittsjahr mit Klimaschutz,run10004,7.451,0.7744,29644.7,75068.1,525774.6,17596.6,221534.7,33392.8,525774.6,75068.1
run10005,54.79,2060 Durchschnittsjahr mit Klimaschutz,99.38,34.57,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1342,34.57,2205.4,2060 Durchschnittsjahr mit Klimaschutz,run10005,7.462,2.082,45944.8,86879.7,631540.8,11366.9,234535.8,34737.5,631540.8,86879.7
run10006,88.08,2060 Durchschnittsjahr mit Klimaschutz,44.42,86.96,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.142,86.96,2964.4,2060 Durchschnittsjahr mit Klimaschutz,run10006,7.42,2.136,38481.6,83718.4,597242.1,12692.8,228585.6,33935.6,597242.1,83718.4
run10007,5.741,2000 Durchschnittsjahr,37.31,28.3,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.1923,28.3,2541.1,2000 Durchschnittsjahr,run10007,7.479,0.6614,21827.8,65250.7,481622.4,19441.1,208121.2,31809,481622.4,65250.7
run10008,2.684,2000 Durchschnittsjahr,43.63,70.18,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1274,70.18,2081.4,2000 Durchschnittsjahr,run10008,7.625,1.207,22878.6,87811.4,515990.5,16141.5,230381.3,33916.9,515990.5,87811.4
run10009,56.52,2000 Durchschnittsjahr,14.74,8.624,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.171,8.624,1618.9,2000 Durchschnittsjahr,run10009,7.465,0.5629,22004.6,63996.8,476361.4,20029,207755.6,31847.8,476361.4,63996.8
run10010,96.81,2060 warmer Sommer mit Klimaschutz,32.37,79.02,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1793,79.02,1238.8,2060 warmer Sommer mit Klimaschutz,run10010,7.313,1.643,48130,72412.6,579620.5,12932,221047.3,33526.4,579620.5,72412.6
