Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_{kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
run10003,19.35,47.47,81.07,U=0.7 g=42%,none,0.121,933.3,2060,run10003,7.448,4.984,148891.9,99027.3,13826.6,380701.7,59875.3,1161541.8
run10005,44.4,66.25,22.78,U=1.1 g=34%,none,0.1696,1687.7,2060,run10005,7.536,6.15,133221.8,137542.4,11844.3,414813.1,62777.5,1250531.4
run10007,44.25,87.55,90.63,U=0.3 g=20%,none,0.167,2219,2000,run10007,7.259,5.029,109333.4,81714.4,13997.6,336016.9,53320.4,1115281.3
run10008,19.45,12.7,93.35,U=0.6 g=18%,none,0.1583,1335.4,2060,run10008,7.272,0.5505,52543,88020.5,39246,355197.9,56227.7,853324.4
run10009,41.98,86.66,34.66,U=0.7 g=42%,none,0.1142,1371.9,2000,run10009,7.856,8.66,213235.9,109744.8,9549.4,424607.3,66839.3,1373615.3
run10010,53.06,66.4,55.66,U=0.3 g=20%,none,0.1821,1206.1,2000,run10010,7.168,3.948,87428.8,74518.4,16520.1,318620.4,50806.1,1025967.4
run10011,52.39,37.58,38.11,U=0.6 g=18%,none,0.1065,2077.4,2060 Warm,run10011,7.292,1.332,82647.3,112241.6,25647.6,378495.7,58383.1,996594.4
r2n10001,85.99,98.36,38.96,U=1.1 g=34%,none,0.1692,2431.7,2000,r2n10001,7.824,10.36,157873.2,188157.1,8126.2,484675.6,71069.8,1412122.7
r2n10002,75.07,76.31,38.83,U=0.6 g=18%,none,0.1886,1130.7,2060 Warm,r2n10002,7.306,2.734,114703.2,111233.7,18604.4,383821,59419.3,1210367.9
r2n10003,63.4,1.58,1.165,U=0.6 g=23% ,screen,0.1675,49.51,2000,r2n10003,7.208,0.1649,39657.5,73451.1,43150,336591.2,54109.7,739597.8
r2n10004,46.35,26.2,5.885,U=0.6 g=23% ,none,0.1901,2646.1,2000,r2n10004,7.25,1.286,47254.3,80195.4,24121.1,315139.9,49712.1,883910.2
r2n10006,47.79,68.97,78.05,U=0.3 g=20%,roller,0.1177,27.91,2000,r2n10006,7.259,4.087,87428.3,89492.8,15931.1,335859.5,52646,1033750
r2n10007,91.21,13.71,41.42,U=0.6 g=18%,roller,0.1081,2167.7,2060,r2n10007,7.339,0.7972,55711.2,106970,31388,366115.9,56606.3,910746.2
r2n10008,22.29,1.013,81.03,U=0.7 g=42%,none,0.166,236.4,2060 Warm,r2n10008,7.039,0.5026,72547,70597.6,28889.1,327366.3,52696.7,800303
r2n10009,56.5,16,46.36,U=0.3 g=20%,screen,0.1058,1976.1,2000,r2n10009,7.382,1.196,42062.5,101262.3,27335.4,343559.8,53045.5,833539.5
r2n10010,14.45,83.08,40.86,U=0.7 g=42%,roller,0.1749,100.3,2000,r2n10010,7.632,7.463,193782.1,99975.7,10048.2,401901.4,63589,1281824.4
r2n10011,10.3,92.06,71.58,U=0.6 g=18%,none,0.1689,1462,2000,r2n10011,7.523,2.953,77869,136175.4,18010.2,390930.2,58618.7,1185777.7
r2n10012,81.77,12.34,21.4,U=0.6 g=18%,roller,0.1884,781.8,2060 Warm,r2n10012,7.044,0.5791,72602.9,71061.7,35341,339584.2,54843.6,885065.4
r2n10013,70.78,18.31,16.8,U=0.7 g=42%,none,0.1768,2409.5,2060 Warm,r2n10013,7.009,2.005,114725.3,64441.5,18952,327255.6,53188.3,964431.8
r2n10014,2.155,14.42,92.65,U=0.6 g=18%,roller,0.116,2866.2,2000,r2n10014,7.496,0.4913,39662.6,114763.3,42358,385665.7,59455.9,824568
r2n10015,14.33,71.89,73.93,U=0.3 g=20%,roller,0.1889,1365.9,2060 Warm,r2n10015,7.168,3.743,124781.4,72243.4,16394.6,338228.9,54503,1142749.1
r2n10017,31.95,92.18,3.025,U=0.6 g=23% ,none,0.1214,2555.2,2000,r2n10017,7.499,5.145,98184,125280.3,13794.5,382222.3,57966.1,1180625.7
r2n10018,76.06,59.39,13.93,U=0.6 g=18%,roller,0.1515,1304.2,2000,r2n10018,7.406,2.051,62628.4,115055.4,21516.7,362284.1,55249,1053532.8
r2n10019,18.09,55.62,66.18,U=0.6 g=23% ,roller,0.1296,781.6,2060,r2n10019,7.341,3.234,85191.8,109719.5,17664.3,362462.4,55724.3,1043507.9
r2n10020,97.01,10.64,42,U=0.6 g=23% ,screen,0.1062,1007.5,2060 Warm,r2n10020,7.248,1.242,75293.2,102228,25596.6,361752.6,56219.9,907972.3
r2n10021,7.961,33.27,78.15,U=0.6 g=18%,none,0.1138,637.9,2060 Warm,r2n10021,7.303,1.103,77866.9,110089.7,28291.2,377758.9,58429.9,934891.5
r2n10022,79.62,12.09,43.02,U=0.3 g=20%,roller,0.1298,757.1,2000,r2n10022,7.252,1.162,43310.7,83897.2,27318.7,323056.6,50820.3,820491.3
r2n10023,46.73,30.9,20.75,U=0.6 g=18%,roller,0.1421,183.2,2060,r2n10023,7.25,0.9684,60131.7,95096.4,29275,350451.8,54790.9,910713.1
r2n10024,98.87,88.44,50.99,U=0.6 g=18%,screen,0.1448,419.2,2060 Warm,r2n10024,7.394,3.474,127396.1,126545.9,16850.8,406998.5,62293.2,1312187.5
r2n10025,1.287,31.47,99.32,U=0.3 g=20%,roller,0.1836,1793.1,2000,r2n10025,7.239,1.71,50669.3,75275.3,23353.5,309793.8,49164.4,864516.1
r2n10026,2.619,56.18,81.6,U=0.3 g=20%,screen,0.1068,1440.1,2060,r2n10026,7.264,2.925,80432.8,93631.6,19209.9,342724.6,53530.1,1005728.2
r2n10027,7.585,66.23,85.24,U=0.7 g=42%,screen,0.1981,2205.1,2060,r2n10027,7.341,5.97,130006.5,96666.2,11881.4,362989.9,56903.2,1139117
r2n10028,28.34,20.12,69.16,U=0.7 g=42%,screen,0.1252,1536.6,2000,r2n10028,7.393,2.221,54274.4,105225.2,18840.3,340445.1,52159,864772.1
r2n10029,32.76,59.26,34.94,U=0.6 g=23% ,screen,0.1259,2834.5,2060,r2n10029,7.35,3.496,81634,111191.6,17503.3,361838.4,55490.2,1056819.4
r2n10030,19.47,67.03,42.42,U=0.7 g=42%,roller,0.1681,1993.1,2060 Warm,r2n10030,7.612,6.111,210555.8,90538.8,11926.9,404018.7,64751.8,1298542.5
r2n10031,28.14,69.08,93.59,U=0.7 g=42%,none,0.1166,543.3,2000,r2n10031,7.683,7.181,179403,110810.5,10213,406812.7,63567.4,1255006.7
r2n10033,17.66,63.75,8.175,U=0.6 g=23% ,roller,0.1474,136.9,2000,r2n10033,7.368,3.123,71208.9,108102.6,17389,351506.6,53898.7,1019954.7
r2n10034,43.31,13.68,44.22,U=0.6 g=18%,screen,0.1984,1301.4,2060 Warm,r2n10034,7.064,0.6089,70981.6,70447.6,39387,345145.2,55889.4,876883.2
r2n10035,17.41,37.11,25.96,U=0.6 g=18%,roller,0.1907,2164.6,2060 Warm,r2n10035,7.149,1.03,78418,83164.2,28700.6,345916.5,54970.8,960006.3
