Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_[kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
run10001,52.16,37.58,52.68,U=0.6 g=23% ,roller,0.1067,2989.7,2060 Warm,run10001,7.309,2.913,54748,73582.5,10268.2,224979.9,34132.7,616013.3
run10002,27.57,18.31,43.98,U=0.7 g=42%,screen,0.1883,1153.8,2060 Warm,run10002,7.176,2.506,51866.8,52424.2,10650.7,198078.9,31078.4,542907.8
run10003,70.8,23.94,50.6,U=0.6 g=18%,none,0.1686,1142.9,2060,run10003,7.272,1.348,37479.3,63940.6,14164.9,209788.9,32216.4,575959.6
run10004,91.46,81.74,8.97,U=1.1 g=34%,none,0.1903,2051.3,2060,run10004,7.647,6.352,102485.7,92128.2,5960.6,268471.5,40372.1,838555.6
run10005,42.14,16.88,84.81,U=0.6 g=23% ,none,0.1121,2427.2,2000,run10005,7.492,2.18,27300,81220.3,11652.9,220231.7,32648.6,532089.1
run10006,88.29,27.4,3.806,U=0.6 g=18%,roller,0.112,1292.4,2060,run10006,7.314,1.255,37698.6,71074.1,14432.6,219121,33293.1,595529.3
run10007,55.8,90.81,4.229,U=0.7 g=42%,roller,0.1287,46.38,2060,run10007,7.747,6.172,136107.8,66068.1,6395.7,257579.7,40588.7,803687.2
run10008,22.97,5.101,8.228,U=0.3 g=20%,none,0.1898,2010.9,2000,run10008,7.289,0.4275,22257.6,45749,25668,199071,31810.4,463729.8
run10009,46.48,79.7,62.99,U=0.7 g=42%,none,0.1008,2691.9,2000,run10009,7.757,7.59,114356.6,75255,5574.3,254220.7,39224.5,743154.9
run10010,46.59,35.95,33.95,U=0.3 g=20%,roller,0.1909,1301.5,2000,run10010,7.202,2.179,32795.7,46914.3,12165.2,182513.5,28751.7,536550.9
run10011,43.44,0.4668,49.12,U=0.7 g=42%,none,0.171,1266.7,2060 Warm,run10011,7.019,1.441,52164,46004.9,12116.4,193053.7,30712.8,522013.2
run10012,64.54,31.27,41.11,U=0.7 g=42%,screen,0.1116,1876.2,2060,run10012,7.388,4.378,57612.1,70814,8408.3,219914.9,33456.6,615304
run10013,69.32,94.5,92.31,U=0.6 g=18%,none,0.1205,685.4,2060,run10013,7.488,3.136,61593.7,93734.1,9629.4,252503.7,37382.2,746173.3
run10014,55.21,34.78,81.78,U=0.6 g=18%,roller,0.1604,2379.7,2000,run10014,7.462,1.737,30007.6,78139.2,12796.9,220147.9,32889.6,590636
run10015,18.16,46.15,87.88,U=0.6 g=23% ,screen,0.1898,1335.3,2060,run10015,7.354,3.181,42927.6,67903.9,10327.7,210992.5,32102.4,582132.4
run10016,42.29,10.69,79.87,U=0.7 g=42%,screen,0.1456,2720.1,2000,run10016,7.453,2.887,37195.7,69823.5,9308.7,208014.8,31410.3,524725.3
run10017,10.57,21.59,16.77,U=0.7 g=42%,roller,0.1031,2054.7,2060 Warm,run10017,7.301,1.805,49729.4,66886.6,13917.9,220363.1,33863,545138
run10018,71.51,46.83,51.99,U=0.6 g=23% ,roller,0.1539,2804.1,2060 Warm,run10018,7.248,3.473,64263.9,65238.6,9243.5,218649.9,33693.6,655587.2
run10019,10.97,16.37,69.03,U=0.3 g=20%,screen,0.1536,1372.9,2060,run10019,7.294,1.455,30876,54026,16110.7,197204.3,30789,492442.2
run10020,76.15,24.4,83.76,U=0.7 g=42%,screen,0.1956,482.5,2000,run10020,7.364,4.546,58189.2,64864.2,7009.8,210412.4,32251.2,617413.9
run10021,28.83,44.62,12.45,U=0.3 g=20%,screen,0.1273,1035.9,2000,run10021,7.356,1.984,29496.5,60528,12892.5,198485.1,30477.8,533552.8
run10022,12.16,48.77,8.442,U=0.6 g=23% ,screen,0.1405,1164,2060,run10022,7.352,1.881,36653.3,65692,13152.7,209618,32040.1,561585.1
run10023,28.19,71.15,68.4,U=0.6 g=18%,none,0.1967,2528.2,2060 Warm,run10023,7.335,2.196,58724,72424.6,11428.1,228045.9,34777.1,663648.1
run10024,67.47,92.06,56.16,U=0.6 g=23% ,none,0.1793,1432.8,2000,run10024,7.464,4.854,62855.4,78365.4,7226.6,230098.2,34651,719131.1
run10025,91.86,9.138,64.15,U=0.6 g=18%,screen,0.1325,2697.5,2000,run10025,7.425,1.095,26840.4,75882.6,13983.8,217622.2,32625.5,560263.6
run10026,56.81,76.69,65.28,U=1.1 g=34%,roller,0.1355,2449.4,2000,run10026,7.646,7.564,62745.6,119301.8,5318.8,276640.6,39575.5,756983.4
run10027,78.28,88.6,19.25,U=0.3 g=20%,screen,0.1859,595.9,2060,run10027,7.167,3.812,71696.3,47597.9,8881.9,200835,31972.4,730842.3
run10028,97.51,38.43,27.86,U=0.3 g=20%,none,0.1751,1740.9,2000,run10028,7.068,2.769,43396,45238.9,10341,183537.3,29074.1,591574.8
run10029,22.47,47.32,86.67,U=0.7 g=42%,roller,0.1333,819.7,2060 Warm,run10029,7.455,5.589,98062,66274,7246.4,236597.3,36818.3,690261.4
run10030,97.81,8.29,9.346,U=0.7 g=42%,screen,0.1235,1204.4,2060 Warm,run10030,7.257,2.3,62122.8,60193,10164.1,212859.1,33076.8,600010.5
run10031,16.29,91.27,31.97,U=0.6 g=18%,none,0.1377,1630.8,2060,run10031,7.458,2.063,49577.8,80936.7,11879.7,233704,35082.4,666685.9
run10032,54.85,2.201,55.15,U=0.3 g=20%,roller,0.1505,2165.4,2060,run10032,7.172,1.036,31597,49642.7,16052.4,192178.6,30254,512607.5
run10033,56.49,94.92,31.48,U=0.7 g=42%,screen,0.1449,321.3,2060,run10033,7.496,7.225,96068,72514.3,5982.4,240694.9,37032.8,759580.1
run10034,30.68,67.88,39.64,U=1.1 g=34%,screen,0.1811,2960.5,2060,run10034,7.514,5.508,47636.4,97873.6,6935,244343.2,35578.5,669333.3
run10035,91.09,30.42,44.03,U=0.3 g=20%,none,0.1738,169.2,2000,run10035,7.044,2.586,41067.9,46518,10694.9,184344.8,29112.3,548708.7
run10036,88.55,96.13,18.99,U=0.6 g=18%,none,0.153,1211.6,2000,run10036,7.469,2.488,49944.1,86509.3,9873.7,237074,35222.1,737982.6
run10037,71.38,83.87,8.339,U=0.6 g=18%,roller,0.161,1924.8,2000,run10037,7.451,2.212,43160.4,79550.1,11005,226533.2,33914.9,692211.7
run10038,29.08,39.61,67.91,U=0.6 g=23% ,screen,0.1089,2877.9,2060,run10038,7.432,2.901,39449.5,79792.9,10944,224547.5,33539.4,585839.7
run10039,54.83,65.65,82.28,U=0.6 g=18%,none,0.1321,560.9,2060 Warm,run10039,7.359,2.527,61828.5,81265.7,10779.1,239546.1,36100.1,679191.7
run10040,8.261,52.41,31.37,U=0.6 g=23% ,none,0.1151,2809.6,2060 Warm,run10040,7.345,2.434,52322.6,72164.3,11335.7,223724.9,34025.9,604125
run10041,10.25,59.52,17.51,U=0.3 g=20%,none,0.1296,266.7,2060,run10041,7.228,2.165,43863.8,56228.7,12468.2,201131.8,31308.5,557422.9
run10042,7.28,42.16,87.73,U=0.6 g=23% ,none,0.1105,483.4,2060 Warm,run10042,7.356,2.981,52807.5,77469.9,10578.1,229132.5,34552.6,573198.2
run10043,1.762,99.88,9.651,U=0.7 g=42%,screen,0.1148,2161.2,2000,run10043,7.476,4.93,62119.4,77584,6277.6,227003.2,34162.2,672361.6
run10044,49.56,49.99,98.81,U=0.3 g=20%,roller,0.1479,2009,2000,run10044,7.289,3.618,43727.4,56583.1,9471.5,196045.8,30369.2,573147.5
run10045,43.28,14.62,49.4,U=0.7 g=42%,none,0.1046,356.1,2060,run10045,7.2,2.785,53874.7,64787.5,10311.4,213721.5,32849.4,548219.2
run10046,11.9,56.78,4.714,U=0.6 g=18%,screen,0.1301,965.1,2000,run10046,7.498,1.161,27595.3,77062.7,14957.6,221272.7,33180.4,584238.6
run10047,87.28,87.69,74.52,U=1.1 g=34%,none,0.1167,2563.1,2060,run10047,7.823,8.79,106201.4,119136.8,5285.8,302493.8,44214.1,860878.4
run10048,92.08,2.333,55.12,U=0.6 g=18%,roller,0.1804,2895.3,2060,run10048,7.208,0.7788,34278.2,58318.9,15883.7,204086.7,31663.4,568168.9
run10049,59.87,56.43,43.2,U=0.3 g=20%,roller,0.1976,383.3,2060 Warm,run10049,7.068,3.207,67433.2,43859.6,9901.6,195601,31346.8,644809
run10050,5.19,10.5,21.77,U=0.7 g=42%,roller,0.1725,5.699,2060 Warm,run10050,7.073,1.08,43687,46162.3,20025.3,202392.5,32370.3,432483.7
run10051,93.18,25.85,81.89,U=0.7 g=42%,screen,0.1172,55.83,2060,run10051,7.374,5.125,75113.9,73787.3,7144,231770.7,35330.5,619498.8
run10052,38.39,39.47,18.99,U=0.6 g=18%,none,0.1314,2583.5,2060 Warm,run10052,7.312,1.27,46571.4,67357,14775.3,220585.4,33863.5,591307.1
run10053,66.99,38.67,36.99,U=0.3 g=20%,none,0.1521,1451.6,2060 Warm,run10053,7.066,2.633,58117.9,46909.7,10891.9,195528.7,31080.3,600748.2
run10054,98.62,55.35,30.56,U=0.6 g=23% ,screen,0.1032,580.3,2060,run10054,7.365,3.879,56575.6,78355.7,8985.7,229539.6,34551.7,676831.9
run10055,33.19,26.83,37.9,U=1.1 g=34%,none,0.1146,1318.9,2000,run10055,7.518,3.174,34633.2,90710.1,9205.2,231822.5,33933.7,582590.4
run10056,20.13,94.41,39.37,U=0.3 g=20%,roller,0.1042,838.4,2060,run10056,7.31,3.651,62438.5,61244.5,9411.3,212909.5,32998.8,683826
run10057,64.1,24.52,69.8,U=0.6 g=18%,screen,0.1389,866.3,2060,run10057,7.34,1.595,37434.4,72124,13893,219272.6,33232.9,570036.2
run10058,53.4,26.49,60.26,U=0.6 g=18%,none,0.1552,2047.9,2060,run10058,7.341,1.364,36069.6,67935.5,14410.1,214270.7,32686,574193.3
run10059,79.33,32.28,84.68,U=0.6 g=18%,screen,0.1856,253,2000,run10059,7.35,1.77,33745.2,75544.8,12162.2,218073.1,32734.2,602338.4
run10060,41.09,15.13,96.73,U=0.6 g=23% ,screen,0.1355,1425.4,2000,run10060,7.475,2.183,27349.5,77581.5,11484.8,215506.8,32105.7,547164.4
run10061,35.22,3.941,85.71,U=0.3 g=20%,none,0.1498,2850.4,2000,run10061,7.355,1.216,23642.9,57565.8,14631.1,194480.1,30007.4,477918.8
run10062,96.45,24.95,2.791,U=1.1 g=34%,screen,0.1235,555.9,2000,run10062,7.53,3.475,31152.4,97754.6,8148.7,236445.8,34175.3,618920
run10063,23.56,51.99,77.34,U=1.1 g=34%,screen,0.135,2936.3,2060 Warm,run10063,7.474,5.679,57015.9,101896.4,6934.1,254946.2,37140.9,649887
run10064,29.4,0.4324,73.09,U=0.6 g=23% ,roller,0.1141,812.8,2060,run10064,7.432,0.9708,29754.5,72489.6,16767.2,220284,33383.4,484039.3
run10065,31.18,99.88,48.46,U=0.7 g=42%,roller,0.1036,2955,2060 Warm,run10065,8.004,7.515,152838.6,73915.9,5856.7,276301.8,43285.8,860082.4
run10066,79.8,35.28,9.135,U=0.3 g=20%,roller,0.1849,1226.8,2060,run10066,6.982,2.252,46454.4,41573.3,11937.7,183829,29430.6,586452.7
run10067,16.57,7.718,18.55,U=0.6 g=23% ,roller,0.1315,174.9,2000,run10067,7.447,0.6748,22593.6,65980.4,21983,217370.6,33403,457667
run10068,74.31,53.8,2.675,U=0.6 g=18%,none,0.1127,2439.2,2060,run10068,7.358,1.754,43552.2,75561.4,13005.5,225543.3,34069.2,643849.1
run10069,4.793,60.98,98.33,U=0.3 g=20%,none,0.1294,2743.4,2060 Warm,run10069,7.246,3.323,61032.2,58343.5,9988.7,209624.2,32651.9,607222
