Name,Aa,Bb,Cc,Dd,,Ee,Ff,Gg,Hh,Ii,Stromproduktion_PV_[kWh/Jahr],Selbstversorgungsgrad_Strom,Investitionskosten_[EUR]
run10001,3.373,3.891,A,0.194,run10001,1.069,152511.5,15805.4,24408.3,197021.9,8917.5,0.1407,0.07461
run10002,9.301,1.211,B,0.1158,run10002,1.571,166701,2742.7,37889.6,211155.2,61554.6,0.19,0.0341
run10003,2.161,3.393,C,0.04927,run10003,0.861,163102.1,10294.8,25933.5,203596.9,13727.9,0.161,0.08631
run10004,11.07,2.373,A,0.1111,run10004,2.04,171672,7106.3,28618.5,211433.3,28284.5,0.1836,0.02018
run10005,12.23,1.742,A,0.02717,run10005,2.182,172293,4945.8,32411.2,213546.7,43238.2,0.1866,0.01114
run10006,1.187,0.5011,A,0.09574,run10006,0.1591,156131.9,802.4,50935,211761.1,96140.8,0.2519,0.0819
run10008,7.848,4.159,A,0.1209,run10008,2.007,164377.8,21453,23338.7,214012.1,4665.3,0.1249,0.04642
run10009,1.976,2.988,A,0.1271,run10009,0.7476,164398.7,7056.1,27212.6,202836.9,20734.3,0.1727,0.08625
run10010,7.3,1.843,A,0.07067,run10010,1.352,166786.2,3678.5,31910.6,206254.8,45023.4,0.1867,0.04872
run10011,12.38,1.392,A,0.1077,run10011,2.134,163452,3911.8,35512.1,206732.7,61879.7,0.1856,0.01019
run10012,1.728,1.506,A,0.1192,run10012,0.3924,159814.9,1890.5,35614.6,201125.6,61610.3,0.1875,0.08758
run10013,6.136,1.431,A,0.1625,run10013,1.005,165277.9,2447.9,35660.5,207205,57689.4,0.1863,0.05718
run10014,10.78,1.149,A,0.05419,run10014,1.777,167088,3001,38645.3,212597.1,60675.5,0.1923,0.0227
run10015,11.71,1.564,A,0.0313,run10015,1.977,167202,4219.4,33922.7,209310.8,48903,0.1866,0.01547
run10016,1.749,1.946,A,0.07239,run10016,0.4976,167663.4,2847.6,32045.8,206825.4,46960.8,0.1871,0.08889
run10017,6.489,3.082,A,0.07142,run10017,1.471,154755.1,9370.4,25958.7,194209.1,20658.8,0.1706,0.05837
run10018,8.402,4.084,A,0.1871,run10018,2.088,157786,20803.3,23488.9,206494.5,5010.9,0.1307,0.04111
run10019,1.974,4.039,A,0.1839,run10019,1.006,166479.4,17067.6,24631.6,212740.6,5482.3,0.1315,0.08642
run10020,2.023,4.924,A,0.1983,run10020,1.24,158761,29305.2,23223.3,216339.5,736.7,0.05916,0.08836
run10021,9.476,1.282,A,0.09776,run10021,1.602,171744,2916.6,37086.7,215744.1,57581.6,0.188,0.0324
run10023,12.9,3.21,A,0.03899,run10023,2.66,164096,13697.1,25283.5,207145.9,12795.2,0.1685,0.005708
run10024,8.896,2.179,A,0.1634,run10024,1.743,162681.7,5169.3,29589.3,201438.2,36202.7,0.1864,0.03723
run10025,7.568,3.328,A,0.1736,run10025,1.769,164330.6,11980.6,25277.5,205826.6,12379.1,0.1636,0.0474
run10026,11.51,4.046,A,0.004175,run10026,2.498,171421,22380,23444.5,221943.8,3638.3,0.1327,0.0169
run10027,9.657,2.991,A,0.06213,run10027,2.004,177076,10199.5,26183.9,218089.1,15457.8,0.1721,0.03164
run10028,3.722,1.025,A,0.1118,run10028,0.4278,160685.5,1367.5,40920.4,206776.5,76142,0.1978,0.07441
run10030,3.401,3.581,A,0.0974,run10030,0.9936,154528.9,12523.1,25060,196681.1,13629.1,0.1545,0.07324
